status,source_file,output_file,preset,original_size_bytes,converted_size_bytes,message
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/ clareador-de-manchas-whitening-skin-30ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/pytotratha/clareador-de-manchas-whitening-skin-30ml_hero.webp,hero,57886,40518,56.5 KB -> 39.6 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/phytatratha facial - sabonete secativo skin control.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/pytotratha/phytatratha facial - sabonete secativo skin control_thumbnail.webp,thumbnail,47387,2948,46.3 KB -> 2.9 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/phytatratha facial - sabonete secativo skin control.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/pytotratha/phytatratha facial - sabonete secativo skin control_card.webp,card,47387,8666,46.3 KB -> 8.5 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/phytatratha facial - sabonete secativo skin control.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/pytotratha/phytatratha facial - sabonete secativo skin control_detail.webp,detail,47387,23262,46.3 KB -> 22.7 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/phytatratha facial - sabonete secativo skin control.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/pytotratha/phytatratha facial - sabonete secativo skin control_hero.webp,hero,47387,33168,46.3 KB -> 32.4 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/creme-hiperemiante-com-nicotinato-thermo-redux-1kg.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/pytotratha/creme-hiperemiante-com-nicotinato-thermo-redux-1kg_thumbnail.webp,thumbnail,52699,2720,51.5 KB -> 2.7 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/creme-hiperemiante-com-nicotinato-thermo-redux-1kg.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/pytotratha/creme-hiperemiante-com-nicotinato-thermo-redux-1kg_card.webp,card,52699,9148,51.5 KB -> 8.9 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/creme-hiperemiante-com-nicotinato-thermo-redux-1kg.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/pytotratha/creme-hiperemiante-com-nicotinato-thermo-redux-1kg_detail.webp,detail,52699,26418,51.5 KB -> 25.8 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/creme-hiperemiante-com-nicotinato-thermo-redux-1kg.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/pytotratha/creme-hiperemiante-com-nicotinato-thermo-redux-1kg_hero.webp,hero,52699,37814,51.5 KB -> 36.9 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/pytotratha/ redutor-creme-multifuncional-11-ativos-body-action-1kg.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/pytotratha/redutor-creme-multifuncional-11-ativos-body-action-1kg_thumbnail.webp,thumbnail,53435,2590,52.2 KB -> 2.5 KB
